sensor,date,recorded
ms_p4:sensor:, 3/31/2016 4:46:11 PM,255
ms_p4:sensor:, 3/31/2016 4:58:29 PM,0
ms_p4:sensor:, 3/31/2016 5:10:46 PM,255
ms_p4:sensor:, 3/31/2016 5:11:03 PM,0
ms_p4:sensor:, 3/31/2016 5:11:17 PM,255
ms_p4:sensor:, 3/31/2016 5:11:19 PM,0
ms_p4:sensor:, 3/31/2016 5:15:36 PM,255
ms_p4:sensor:, 3/31/2016 5:15:38 PM,0
ms_p4:sensor:, 3/31/2016 5:20:03 PM,255
ms_p4:sensor:, 3/31/2016 5:20:05 PM,0
ms_p4:sensor:, 3/31/2016 5:21:08 PM,255
ms_p4:sensor:, 3/31/2016 5:21:10 PM,0
ms_p4:sensor:, 3/31/2016 5:22:28 PM,255
ms_p4:sensor:, 3/31/2016 5:22:30 PM,0
ms_p4:sensor:, 3/31/2016 5:23:02 PM,255
ms_p4:sensor:, 3/31/2016 5:23:03 PM,0
ms_p4:sensor:, 3/31/2016 6:55:18 PM,255
ms_p4:sensor:, 3/31/2016 6:55:23 PM,0
ms_p4:sensor:, 3/31/2016 6:57:06 PM,255
ms_p4:sensor:, 3/31/2016 7:11:00 PM,0
ms_p4:sensor:, 3/31/2016 7:24:21 PM,255
ms_p4:sensor:, 3/31/2016 7:24:23 PM,0
ms_p4:sensor:, 3/31/2016 7:24:50 PM,255
ms_p4:sensor:, 3/31/2016 7:26:38 PM,0
ms_p4:sensor:, 3/31/2016 8:10:23 PM,255
ms_p4:sensor:, 3/31/2016 8:10:43 PM,0
ms_p4:sensor:, 3/31/2016 8:15:48 PM,255
ms_p4:sensor:, 3/31/2016 8:15:51 PM,0
ms_p4:sensor:, 3/31/2016 8:16:11 PM,255
ms_p4:sensor:, 3/31/2016 8:16:14 PM,0
ms_p4:sensor:, 3/31/2016 8:21:49 PM,255
ms_p4:sensor:, 3/31/2016 8:21:51 PM,0
ms_p4:sensor:, 3/31/2016 8:27:00 PM,255
ms_p4:sensor:, 3/31/2016 8:27:03 PM,0
ms_p4:sensor:, 3/31/2016 8:36:22 PM,255
ms_p4:sensor:, 3/31/2016 8:36:24 PM,0
